"統計名：","人口動態調査 人口動態統計 確定数 出生"
"表番号：","4-1"
"表題：","[上巻] 年次別にみた出生数・出生率（人口千対）・出生性比及び合計特殊出生率"
"実施年月：","2019年","-"

"***","調査又は集計していないもの"
"-","計数のない場合"
"・","統計項目のありえない場合"
"…","計数不明の場合"

"","","/出生数・出生率・出生性比 コード","00100","00110","00120","00130","00140","00150"
"1932000000","1932年","","2,182,742","1,117,954","1,064,788","32.9","105.0","…"
"1931000000","1931年","","2,102,784","1,073,385","1,029,399","32.1","104.3","…"
"1930000000","1930年","","2,085,101","1,069,551","1,015,549","32.4","105.3","…"
"1929000000","1929年","","2,077,026","1,058,666","1,018,360","32.7","104.0","…"
"1928000000","1928年","","2,135,852","1,090,702","1,045,150","34.1","104.4","…"
"1927000000","1927年","","2,060,737","1,048,946","1,011,791","33.4","103.7","…"
"1926000000","1926年","","2,104,405","1,081,793","1,022,611","34.6","105.8","…"
"1925000000","1925年","","2,086,091","1,060,827","1,025,264","34.9","103.5","…"
"1924000000","1924年","","1,998,520","1,019,988","978,532","33.9","104.2","…"
"1923000000","1923年","","2,043,297","1,043,599","999,698","35.2","104.4","…"
"1922000000","1922年","","1,969,314","1,004,022","965,292","34.3","104.0","…"
"1921000000","1921年","","1,990,876","1,017,457","973,419","35.1","104.5","…"
"1920000000","1920年","","2,025,564","1,035,134","990,430","36.2","104.5","…"
"1919000000","1919年","","1,778,685","910,400","868,285","32.3","104.9","…"
"1918000000","1918年","","1,791,992","914,685","877,307","32.7","104.3","…"
"1917000000","1917年","","1,812,413","924,953","887,460","33.5","104.2","…"
"1916000000","1916年","","1,804,822","921,347","883,475","33.7","104.3","…"
"1915000000","1915年","","1,799,326","918,296","881,030","34.1","104.2","…"
"1914000000","1914年","","1,808,402","925,855","882,547","34.8","104.9","…"
"1913000000","1913年","","1,757,441","897,824","859,617","34.3","104.4","…"
"1912000000","1912年","","1,737,674","886,449","851,225","34.4","104.1","…"
"1911000000","1911年","","1,747,803","891,049","856,754","35.1","104.0","…"
"1910000000","1910年","","1,712,857","872,779","840,078","34.8","103.9","…"
"1909000000","1909年","","1,693,850","863,855","829,995","34.9","104.1","…"
"1908000000","1908年","","1,662,815","850,209","812,606","34.7","104.6","…"
"1907000000","1907年","","1,614,472","818,114","796,358","34.0","102.7","…"
"1906000000","1906年","","1,394,295","726,155","668,140","29.6","108.7","…"
"1905000000","1905年","","1,452,770","735,948","716,822","31.2","102.7","…"
"1904000000","1904年","","1,440,371","738,230","702,141","31.2","105.1","…"
"1903000000","1903年","","1,489,816","763,806","726,010","32.7","105.2","…"
"1902000000","1902年","","1,510,835","773,296","737,539","33.6","104.8","…"
"1901000000","1901年","","1,501,591","769,494","732,097","33.9","105.1","…"
"1900000000","1900年","","1,420,534","727,916","692,618","32.4","105.1","…"
"1899000000","1899年","","1,386,981","713,442","673,539","32.0","105.9","…"
